Year,Type,Question,Qption_A,Qption_B,Qption_C,Qption_D,Category,Marks,Answer
qp_2010,,"Consider the languages L1 = {0<sup>i</sup>1<sup>j</sup> | i &ne; j}, L2= {0<sup>i</sup>1<sup>j</sup> | i = j}, L3={0<sup>i</sup>1<sup>j</sup> | i = 2j + 1}.
L4 = {0<sup>i</sup>1<sup>j</sup> | i &ne; 2j }. Which one of the following statements is true?",Only L2 is context free.,Only L2 and L3 are context free.,Only L1 and L2 are context free.,All are context free.,,,
qp_2010,,"Let w be any string of length n in {0,1}<sup>*</sup>. Let L be the set of all substrings of w. What is the
minimum number of states in a non-deterministic finite automaton that accepts L?",n - 1,n,n + l,2<sup>n-1</sup>,,,
qp_2010,,"Consider the following schedule for transactions T1, T2 and T3:

    T1         T2         T3
  Read(X)
             Read(Y)
                        Read(Y)
             Write(Y)
  Write(X)
                        Write(X)
             Read(X)
             Write(X)

Which one of the schedules below is the correct serialization of the above?",T1 &rarr; T3 &rarr; T2,T2 &rarr; T1 &rarr; T3,T2 &rarr; T3 &rarr; T1,T3 &rarr; T1 &rarr; T2,,,
qp_2010,,"The following functional dependencies hold for relations R(A, B, C) and S(B, D, E).
B &rarr; A,
A &rarr; C

The relation X contains 200 tuples and the relation S contains 100 tuples. What is the maximum
number of tuples possible in the natural join R &bowtie; S?",100,200,300,2000,,,
qp_2010,,"The following program is to be tested for statement coverage:
    begin
        if (a == b) {S1; exit;}
        else if (c == d) {S2;}
        else {S3; exit;}
        S4;
    end

The test cases T1, T2. T3 and T4 given below are expressed in terms of the properties satisfied by
the values of variables a, b, c and d. The exact values are not given.
T1: a, b, c and d are all equal
T2: a, b, c and d are all distinct
T3: a = b and c != d
T4: a != b and c = d
Which of the test suites given below ensures coverage of statements S1, S2, S3 and S4?","T1, T2, T3","T2, T4","T3, T4","T1, T2, T4",,,
qp_2010,,"The following program consists of 3 concurrent processes and 3 binary semaphores. The
semaphores are initialized as S0=1, S1=0, S2=0.

    Process P0         Process P1      Process P1
    while (true) {     wait (S1);      wait (S2)
        wait (SO);     release (S0);   release (S0);
        print '0';
        release (S1);
        release (S2);
    }
How many times will process P0 print '0'?",At least twice,Exactly twice,Exactly thrice,Exactly once,,,
qp_2010,,"A system has n resources R<sub>0</sub>, .. R<sub>n-1</sub>. and k processes P<sub>0</sub>, .. P<sub>k-1</sub>. The implementation of the resource
request logic of each process P<sub>i</sub> is as follows:
    if (i % 2 == 0) {
        if (i < n) request R<sub>i</sub>;
        if (i + 2 < n) request R<sub>i+2</sub>;
    }
    else {
        if (i < n) request R<sub>n - i</sub>;
        if (i + 2 < n) request R<sub>n - i - 2</sub>;
    }
In which one of the following situations is a deadlock possible?","n = 40, k = 26","n = 21, k = 12","n = 20, k = 10","n = 41, k = 19",,,
qp_2010,,"Suppose computers A and B have IP addresses 10.105.1.113 and 10.105.1.91 respectively and they
both use the same netmask N. Which of the values of N given below should not be used if A and B
should belong to the same network?",255.255.255.0,255.255.255.128,255.255.255.192,255.255.255.224,,,
qp_2010,,"A computer system has an L1 cache, an L2 cache. and a main memory unit connected as shown below,
The block size in L1 cache is 4 words. The block size in L2 cache is 16 words. The memory access times
are 2 nanoseconds. 20 nanoseconds and 200 nanoseconds for L1 cache.L2 cache and main memory unit
respectively.

<img src=""img/2010_48.png"" width=""100px"" height=""100px"" />

When there is a miss in L1 cache and a hit in L2 cache, a block is transferred from L2 cache to
LI cache. What is the time taken for this transfer?",2 nanoseconds,20 nanoseconds,22 nanoseconds,88 nanoseconds,,,
qp_2010,,"A computer system has an L1 cache, an L2 cache. and a main memory unit connected as shown below,
The block size in L1 cache is 4 words. The block size in L2 cache is 16 words. The memory access times
are 2 nanoseconds. 20 nanoseconds and 200 nanoseconds for L1 cache.L2 cache and main memory unit
respectively.

<img src=""img/2010_48.png"" width=""100px"" height=""100px"" />

When there is a miss in both L1 cache and L2 cache, first a block is transferred from main memory
to L2 cache, and then a block is transferred from L2 cache to L1 cache. What is the total time taken
for these transfers?",222 nanoseconds,888 nanoseconds,902 nanoseconds,968 nanoseconds,,,
qp_2010,,"Consider a complete undirected graph with vertex set (0, 1, 2, 3, 4). Entry W<sub>ij</sub> in the matrix W below is the
weight of the edge {i,j}.

         0   1  8  1  4
         1   0  12 4  9
     w = 8  12  0  7  3
         1   4  7  0  2
         4   9  3  2  0

What is the minimum possible weight of a spanning tree T in this graph such that vertex 0 is a leaf
node in the tree T?",7,8,9,10,,,
qp_2010,,"Consider a complete undirected graph with vertex set (0, 1, 2, 3, 4). Entry W<sub>ij</sub> in the matrix W below is the
weight of the edge {i,j}.

         0   1  8  1  4
         1   0  12 4  9
     w = 8  12  0  7  3
         1   4  7  0  2
         4   9  3  2  0

What is the minimum possible weight of a path P from vertex | to vertex 2 in this graph such that P
contains al mast 3 edges?",7,8,9,10,,,
qp_2010,,"A hash table of length 10 uses open addressing with hash function h(k) = k mod 10, and linear
probing. After inserting 6 values into an empty hash table, the table is as shown below.

      0
      1
      2   42
      3   23
      4   34
      5   52
      6   46
      7   33
      8
      9

Which one of the following choices gives a possible order in which the key values could have been
inserted in the table?","46, 42, 34, 52, 23, 33","34, 42, 23, 52, 33, 46","46, 34, 42, 23, 52, 33","42, 46, 33, 23, 34, 52",,,
qp_2010,,"A hash table of length 10 uses open addressing with hash function h(k) = k mod 10, and linear
probing. After inserting 6 values into an empty hash table, the table is as shown below.

      0
      1
      2   42
      3   23
      4   34
      5   52
      6   46
      7   33
      8
      9

How many different insertion sequences of the key values using the same hash function and linear
probing will result in the hash table shown above?",10,20,30,40,,,
qp_2010,,"Consider a network with G routers R1 to R6 connected with links having weights as shown in the
following diagram.

<img src=""img/2010_54.png"" width=""100px"" height=""100px"" />

All the routers use the distance vector based routing algorithm to update their routing tables. Each
router starts with its routing table initialized to contain an entry for each neighbour with the weight
of the respective connecting link. After all the routing tables stabilize, how many links in the
network will never be used for carrying any data?",4,3,2,1,,,
qp_2010,,"Consider a network with G routers R1 to R6 connected with links having weights as shown in the
following diagram.

<img src=""img/2010_54.png"" width=""100px"" height=""100px"" />

Suppose the weights of all unused links in the previous question are changed to 2 and the distance
vector algorithm is used again until all routing tables stabilize. How many links will now remain
unused?",0,1,2,3,,,
qp_2010,,"Choose the most appropriate word from the options given below to complete the following
sentence:
His rather casual remarks on politics ____ his lack of seriousness about the subject.",masked,belied,betrayed,suppressed,GeneralAptitude,,
qp_2010,,"Which of the following options is the closest in meaning to the word below:
Circuitous",cyclic,indirect,confusing,crooked,GeneralAptitude,,
qp_2010,,"Choose the most appropriate word from the options given below to complete the following
sentence:

If we manage to ____ our natural resources, we would leave a better planet for
our children.",uphold,restrain,cherish,conserve,GeneralAptitude,,
qp_2010,,"25 persons are in a room. 15 of them play hockey, 17 of them play football and 10 of them play
both hockey and football. Then the number of persons playing neither hockey nor football is:",2,17,13,3,GeneralAptitude,,
qp_2010,,"The question below consists of a pair of related words followed by four pairs of words, Select the
pair that best expresses the relation in the original pair.
Unemployed : Worker",fallow : land,unaware : sleeper,wit : jester,renovated : house,GeneralAptitude,,
qp_2010,,If 137 + 276 = 435 how much is 731 + 672?,534,1403,1623,1513,GeneralAptitude,,
qp_2010,,"Hari (H), Gita (G). Irfan (I) and Saira (S) are siblings (i.e. brothers and sisters). All were born on
1st January, The age difference between any two successive siblings (that is born one after another)
is less than 3 years, Given the following facts:
    I.   Hari's age + Gita's age > Infan's age + Saira's age.
    II.  The age difference between Gita and Saira is 1 year. However, Gita is not the
         oldest and Saira is not the youngest.
    III. There are no twins.
In what order were they born (oldest first)?",HSIG,SGHI,IGSH,IHSG,GeneralAptitude,,
qp_2010,,"Modern warfare has changed from large scale clashes of armies to suppression of civilian
populations. Chemical agents that do their work silently appear to be suited to such warfare;
and regretfully, there exist people in military establishments who think that chemical agents
are useful tools for their cause,

Which of the following statements best sums up the meaning of the above passage:",Modern warfare has resulted in civil strife.,Chemical agents are useful in modern warfare.,Use of chemical agents in warfare would be undesirable.,People in military establishments like to use chemical agents in war.,GeneralAptitude,,
qp_2010,,"5 skilled workers can build a wall in 20 days; 8 semi-skilled workers can build a wall in 25 days:
10 unskilled workers can build a wall in 30 days. If a team has 2 skilled, 6 semi-skilled and
5 unskilled workers, how long will it take to build the wall? .",20 days,18 days,16 days,15 days,GeneralAptitude,,
qp_2010,,"Given digits 2, 2, 3, 3, 3, 4, 4, 4, 4 how many distinct 4 digit numbers greater than 3000 can be
formed?",50,51,52,54,GeneralAptitude,,
qp_2012,,"Consider the following logical inferences. 

I1:  If it rains then the cricket match will not be played.  
     The cricket match was played. 
      Inference: There was no rain. 
I2:  If it rains then the cricket match will not be played.  
     It did not rain. 
     Inference: The cricket match was played. 

Which of the following is TRUE?",Both I1 and I2 are correct inferences,I1 is correct but I2 is not a correct inference,I1 is not correct but I2 is a correct inference,Both I1 and I2 are not correct inferences,,,
qp_2012,,Which of the following is TRUE?,Every relation in 3NF is also in BCNF,"A relation R is in 3NF if every non-prime attribute of R is fully functionally dependent on every     
    key of R",Every relation in BCNF is also in 3NF,No relation can be in both BCNF and 3NF,Databases,,
qp_2012,,"What will be the output of the following C program segment? 

char inChar = 'A' ; 
switch ( inChar ) { 
case 'A' : printf(""Choice A\ n"") ; 
case 'B' : 
case 'C' : printf(""Choice B"") ; 
case 'D' :  
case 'E' : 
default  : printf( ""No Choice"" ) ; }",No Choice,Choice A,"Choice A 
    Choice B No Choice",Program gives no output as it is erroneous,,,
qp_2012,,"Assuming P &ne; NP, which of the following is TRUE?",NP-complete = NP,NP-complete &cap; P = &empty;,NP-hard = NP,P = NP-complete,,,
qp_2012,,"The worst case running time to search for an element in a balanced binary search tree with n2<sup>n</sup>  
elements is",&Theta;(nlog n),&Theta;(n2<sup>n</sup>),&Theta;(n),&Theta;(log n),,,
qp_2012,,"The truth table

X Y f(X, Y) 
0 0 0 
0 1 0 
1 0 1 
1 1 1 

represents the Boolean function",X,X + Y,X &oplus; Y,Y,DigitalLogic,,
qp_2012,,The decimal value 0.5 in IEEE single precision floating point representation has,fraction bits of 000...000 and exponent value of 0,fraction bits of 000...000 and exponent value of -1,fraction bits of 100...000 and exponent value of 0,no exact representation,DigitalLogic,,
qp_2012,,"A process executes the code 
             fork(); 
             fork(); 
             fork(); 
The total number of child processes created is",3,4,7,8,,,
qp_2012,,"Consider the function f(x) = sin(x) in the interval x &isin; [&pi;/4, 7&pi;/4]. The number and location(s) of the 
local minima of this function are","One, at &pi;/2","One, at 3&pi;/2","Two, at &pi;/2 and 3&pi;/2","Two, at &pi;/4 and 3&pi;/2",,,
qp_2012,,The protocol data unit (PDU) for the application layer in the Internet stack is,Segment,Datagram,Message,Frame,ComputerNetworks,,
qp_2012,,"Let A be the 2 x 2 matrix with elements a<sub>11</sub> = a<sub>12</sub> = a<sub>21</sub> = +1 and a<sub>22</sub> = -1. Then the eigenvalues of  
the matrix A<sup>19</sup> are",1024 and -1024,1024&radic;2 and -1024&radic;2,4&radic;2 and -4&radic;2,512&radic;2 and -512&radic;2,EngineeringMathematics,,
qp_2012,,"What is the complement of the language accepted by the NFA shown below?
Assume &sum; = {a} and &epsilon; is the empty string. 

<img src=""img/2012_12.png"" width=""100px"" height=""100px"" />",&empty;,{&epsilon;},a<sup>*</sup>,"{a , &epsilon;}",,,
qp_2012,,"What is the correct translation of the following statement into mathematical logic?

    ""Some real numbers are rational""",&exist;x (real(x) &or; rational(x)),&forall;x (real(x) &rarr; rational(x)),&exist;x (real(x) &and; rational(x)),&exist;x (rational(x) &rarr; real(x)),,,
qp_2012,,"Given the basic ER and relational models, which of the following is INCORRECT?",An attribute of an entity can have more than one value,An attribute of an entity can be composite,"In a row of a relational table, an attribute can have more than one value","In a row of a relational table, an attribute can have exactly one value or a NULL value",Databases,,
qp_2012,,"Which of the following statements are TRUE about an SQL query? 

P : An SQL query can contain a HAVING clause even if it does not have a GROUP BY clause 
Q : An SQL query can contain a HAVING clause only if it has a GROUP BY clause 
R : All attributes used in the GROUP BY clause must appear in the SELECT clause 
S : Not all attributes used in the GROUP BY clause need to appear in the SELECT clause",P and R,P and S,Q and R,Q and S,Databases,,
qp_2012,,"The recurrence relation capturing the optimal execution time of the Towers of Hanoi problem with 
n discs is",T(n) = 2T(n - 2) + 2,T(n) = 2T(n - 1) + n,T(n) = 2T(n/2) + 1,T(n) = 2T(n - 1) + 1,,,
qp_2012,,"Let G be a simple undirected planar graph on 10 vertices with 15 edges. If G is a connected graph, 
then the number of bounded faces in any embedding of G on the plane is equal to",3,4,5,6,,,
qp_2012,,"Let W(n) and A(n) denote respectively, the worst case and average case running time of an 
algorithm executed on an input of size n.  Which of the following is ALWAYS TRUE?",A(n) = &Omega;(W(n)),A(n) = &Theta;(W(n)),A(n) = O(W(n)),A(n) = o(W(n)),,,
qp_2012,,The amount of ROM needed to implement a 4 bit multiplier is,64 bits,128 bits,1 Kbits,2 Kbits,,,
qp_2012,,Register renaming is done in pipelined processors,as an alternative to register allocation at compile time,for efficient access to function parameters and local variables,to handle certain kinds of hazards,as part of address translation,,,
qp_2012,,"Consider a random variable X that takes values +1 and -1 with probability 0.5 each. The values of 
the cumulative distribution function F(x) at x = -1 and +1 are",0 and 0.5,0 and 1,0.5 and 1,0.25 and 0.75,,,
qp_2012,,Which of the following transport layer protocols is used to support electronic mail?,SMTP,IP,TCP,UDP,ComputerNetworks,,
qp_2012,,"In the IPv4 addressing format, the number of networks allowed under Class C addresses is",2<sup>14</sup>,2<sup>7</sup>,2<sup>21</sup>,2<sup>24</sup>,,,
qp_2012,,"Which of the following problems are decidable? 

1) Does a given program ever produce an output? 
2) If L is a context-free language, then, is <span class=""above_bar"">L</span> also context-free? 
3) If L is a regular language, then, is <span class=""above_bar"">L</span> also regular? 
4) If L is a recursive language, then, is <span class=""above_bar"">L</span> also recursive?","1, 2, 3, 4","1, 2","2, 3, 4","3, 4",,,
qp_2012,,"Given the language L = {ab, aa, baa}, which of the following strings are in L<sup>*</sup>? 

1) abaabaaabaa 
2) aaaabaaaa 
3) baaaaabaaaab 
4) baaaaabaa","1, 2 and 3","2, 3 and 4","1, 2 and 4","1, 3 and 4",,,
qp_2012,,"Which of the following graphs is isomorphic to  

  <img src=""img/2012_26.png"" width=""100px"" height=""100px"" />","<img src=""img/2012_26_1.png"" width=""100px"" height=""100px"" />","<img src=""img/2012_26_2.png"" width=""100px"" height=""100px"" />","<img src=""img/2012_26_3.png"" width=""100px"" height=""100px"" />","<img src=""img/2012_26_4.png"" width=""100px"" height=""100px"" />",,,
qp_2012,,"Consider the following transactions with data items P and Q initialized to zero: 

T1 :read (P); 
    read (Q); 
    if  P = 0 then Q := Q + 1 ; 
    write (Q). 
T2 :read (Q); 
    read (P); 
    if  Q = 0 then P := P + 1 ; 
    write (P). 
Any non-serial interleaving of T1 and T2 for concurrent execution leads to",a serializable schedule,a schedule that is not conflict serializable,a conflict serializable schedule,a schedule for which a precedence graph cannot be drawn,,,
qp_2012,,"The bisection method is applied to compute a zero of the function f(x) = x<sup>4</sup> - x<sup>3</sup> - x<sup>2</sup> - 4 in the 
interval [1,9]. The method converges to a solution after ____ iterations.",1,3,5,7,,,
qp_2012,,"Let G be a weighted graph with edge weights greater than one and G' be the graph constructed by 
squaring the weights of edges in G. Let T and T' be the minimum spanning trees of G and G', 
respectively, with total weights t and t'. Which of the following statements is TRUE?",T' = T with total weight t' = t<sup>2</sup>,T' = T with total weight t' < t<sup>2</sup>,T' &ne; T but total weight t' = t<sup>2</sup>,None of the above,,,
qp_2012,,"What is the minimal form of the Karnaugh map shown below? Assume that X denotes a don't care 
term. 

ab 00 01 11 10 
cd

00 1  X  X  1 
01 X        1 
11     
10 1        X","<span class=""above_bar"">b</span> <span class=""above_bar"">d</span>","<span class=""above_bar"">b</span> <span class=""above_bar"">d</span> + <span class=""above_bar"">b</span> <span class=""above_bar"">c</span>","<span class=""above_bar"">b</span> <span class=""above_bar"">d</span> + a <span class=""above_bar"">b</span> <span class=""above_bar"">c</span> d","<span class=""above_bar"">b</span> <span class=""above_bar"">d</span> + <span class=""above_bar"">b</span> <span class=""above_bar"">c</span> + <span class=""above_bar"">c</span> <span class=""above_bar"">d</span>",,,
qp_2012,,"Consider the 3 processes, P1, P2 and P3 shown in the table. 

Process Arrival Time Units 
        time    Required 
P1      0       5 
P2      1       7 
P3      3       4 

The completion order of the 3 processes under the policies FCFS and RR2 (round robin scheduling 
with CPU quantum of 2 time units) are","FCFS: P1, P2, P3   RR2: P1, P2, P3","FCFS: P1, P3, P2   RR2: P1, P3, P2","FCFS: P1, P2, P3   RR2: P1, P3, P2","FCFS: P1, P3, P2   RR2: P1, P2, P3",,,
qp_2012,,"Fetch_And_Add(X,i) is an atomic Read-Modify-Write instruction that reads the value of 
memory location X, increments it by the value i, and returns the old value of X. It is used in the 
pseudocode shown below to implement a busy-wait lock. L is an unsigned integer shared variable 
initialized to 0. The value of 0 corresponds to lock being available, while any non-zero value 
corresponds to the lock being not available. 

   AcquireLock(L){ 
         while (Fetch_And_Add(L,1)) 
               L = 1; 
   } 

   ReleaseLock(L){ 
         L = 0; 
   } 

This implementation",fails as L can overflow,fails as L can take on a non-zero value when the lock is actually available,works correctly but may starve some processes,works correctly without starvation,,,
qp_2012,,"Suppose a fair six-sided die is rolled once. If the value on the die is 1, 2, or 3, the die is rolled a 
second time. What is the probability that the sum total of values that turn up is at least 6?",10/21,5/12,2/3,1/6,,,
qp_2012,,"An Internet Service Provider (ISP) has the following chunk of CIDR-based IP addresses available 
with it: 245.248.128.0/20. The ISP wants to give half of this chunk of addresses to Organization A, 
and a quarter to Organization B, while retaining the remaining with itself. Which of the following is 
a valid allocation of addresses to A and B?",245.248.136.0/21 and 245.248.128.0/22,245.248.128.0/21 and 245.248.128.0/22,245.248.132.0/22 and 245.248.132.0/21,245.248.136.0/24 and 245.248.132.0/21,,,
qp_2012,,"Suppose a circular queue of capacity (n -1) elements is implemented with an array of n elements. 
Assume that the insertion and deletion operations are carried out using REAR and FRONT as array 
index variables, respectively. Initially, REAR = FRONT = 0. The conditions to detect queue full 
and queue empty are","full: (REAR+1) mod n == FRONT
    empty: REAR == FRONT","full: (REAR+1) mod n == FRONT 
    empty: (FRONT+1) mod n == REAR","full: REAR == FRONT
    empty: (REAR+1)  mod n == FRONT","full: (FRONT+1) mod n == REAR 
    empty: REAR == FRONT",,,
qp_2012,,"Consider the program given below, in a block-structured pseudo-language with lexical scoping and 
nesting of procedures permitted. 

Program main; 
   Var ... 
       
   Procedure A1; 
      Var ... 
      Call A2; 
   End A1 

   Procedure A2; 
      Var ... 
              
      Procedure A21; 
         Var ... 
         Call A1; 
      End A21 

      Call A21; 
   End A2 

   Call A1; 
End main. 

Consider the calling chain: Main &rarr; A1 &rarr; A2 &rarr; A21 &rarr; A1 

The correct set of activation records along with their access links is given by","<img src=""img/2012_36_1.png"" width=""100px"" height=""100px"" />","<img src=""img/2012_36_2.png"" width=""100px"" height=""100px"" />","<img src=""img/2012_36_3.png"" width=""100px"" height=""100px"" />","<img src=""img/2012_36_4.png"" width=""100px"" height=""100px"" />",,,
qp_2012,,How many onto (or surjective) functions are there from an n-element (n &ge; 2) set to a 2-element set?,2<sup>n</sup>,2<sup>n</sup>  - 1,2<sup>n</sup>  - 2,2(2<sup>n</sup>  - 2),,,
qp_2012,,"Let G be a complete undirected graph on 6 vertices. If vertices of G are labeled, then the number of 
distinct cycles of length 4 in G is equal to",15,30,90,360,,,
qp_2012,,"A list of n strings, each of length n, is sorted into lexicographic order using the merge-sort 
algorithm. The worst case running time of this computation is",O(nlog n),O(n<sup>2</sup>log n),O(n<sup>2</sup> + log n),O(n<sup>2</sup>),Algorithms,,
qp_2012,,"Consider the directed graph shown in the figure below. There are multiple shortest paths between 
vertices S and T. Which one will be reported by Dijkstra's shortest path algorithm? Assume that, in 
any iteration, the shortest path to a vertex v is updated only when a strictly shorter path to v is 
discovered. 
<img src=""img/2012_40.png"" width=""100px"" height=""100px"" />",SDT,SBDT,SACDT,SACET,,,
qp_2012,,"A file system with 300 GByte disk uses a file descriptor with 8 direct block addresses, 1 indirect 
block address and 1 doubly indirect block address. The size of each disk block is 128 Bytes and the 
size of each disk block address is 8 Bytes. The maximum possible file size in this file system is",3 KBytes,35 KBytes,280 KBytes,dependent on the size of the disk,,,
qp_2012,,"Consider the virtual page reference string 
        1,  2,  3,  2,  4,  1,  3,  2,  4,  1 
on a demand paged virtual memory system running on a computer system that has main memory 
size of 3 page frames which are initially empty. Let LRU, FIFO and OPTIMAL denote the number 
of page faults under the corresponding page replacement policy. Then",OPTIMAL < LRU < FIFO,OPTIMAL < FIFO < LRU,OPTIMAL = LRU,OPTIMAL = FIFO,,,
qp_2012,,"Suppose R<sub>1</sub>(<ins>A</ins>, B) and R<sub>2</sub>(<ins>C</ins>, D) are two relation schemas. Let r1 and r2 be the corresponding 
relation instances. B is a foreign key that refers to C in R<sub>2</sub>. If data in r1 and r2 satisfy referential 
integrity constraints, which of the following is ALWAYS TRUE?",&prod;<sub>B</sub>(r1) - &prod;<sub>C</sub>(r2) = &empty;,&prod;<sub>C</sub>(r2) - &prod;<sub>B</sub>(r1) = &empty;,&prod;<sub>B</sub>(r1) = &prod;<sub>C</sub>(r2),&prod;<sub>B</sub>(r1) - &prod;<sub>C</sub>(r2) &ne; &empty;,,,
qp_2012,,"Consider a source computer (S) transmitting a file of size 10<sup>8</sup> bits to a destination computer (D) 
over a network of two routers (R1 and R2) and three links (L1, L2, and L3). L1 connects S to R1; L2 
connects R1 to R2; and L3 connects R2 to D. Let each link be of length 100 km. Assume signals 
travel over each link at a speed of 10<sup>8</sup> meters per second. Assume that the link bandwidth on each 
link is 1Mbps. Let the file be broken down into 1000 packets each of size 1000 bits. Find the total 
sum of transmission and propagation delays in transmitting the file from S to D?",1005 ms,1010 ms,3000 ms,3003 ms,,,
qp_2012,,"Consider an instance of TCP's Additive Increase Multiplicative Decrease (AIMD) algorithm where 
the window size at the start of the slow start phase is 2 MSS and the threshold at the start of the first 
transmission is 8 MSS. Assume that a timeout occurs during the fifth transmission. Find the 
congestion window size at the end of the tenth transmission.",8 MSS,14 MSS,7 MSS,12 MSS,,,
qp_2012,,"Consider the set of strings on {0,1} in which, every substring of 3 symbols has at most two zeros. 
For example, 001110 and 011001 are in the language, but 100010 is not. All strings of length less 
than 3 are also in the language. A partially completed DFA that accepts this language is shown 
below.  

<img src=""img/2012_46.png"" width=""100px"" height=""100px"" />

The missing arcs in the DFA are","   00 01 10 11 q
    00 1  0
    01          1
    10 0
    11       0","   00 01 10 11 q
    00    0        1
    01    1
    10          0
    11    0","   00 01 10 11 q
    00    1        0
    01    1
    10       0
    11    0","   00 01 10 11 q
    00    1        0
    01          1
    10 0
    11       0",,,
qp_2012,,"The height of a tree is defined as the number of edges on the longest path in the tree. The function 
shown in the pseudocode below is invoked as height(root) to compute the height of a binary 
tree rooted at the tree pointer root. 

int height (treeptr n)  
{ if (n == NULL) return -1; 
  if (n &rarr; left == NULL) 
      if (n &rarr; right == NULL) return 0;  

      else return    B 1    ;                       // Box 1 

  else { h1 = height (n &rarr; left); 
         if (n &rarr; right == NULL) return (1+h1); 
         else { h2 = height (n &rarr; right);  
                  
                return   B 2     ;                  // Box 2 
               } 
       } 
} 

The appropriate expressions for the two boxes B1 and B2 are","B1: (1+height(n &rarr; right))
    B2: (1+max(h1, h2))","B1: (height(n &rarr; right)) 
    B2: (1+max(h1,h2))","B1: height(n &rarr; right)
    B2: max(h1, h2)","B1: (1+ height(n &rarr; right)) 
    B2: max(h1, h2)",,,
qp_2012,,"Consider the following C code segment. 

int a, b, c = 0;  
void prtFun(void); 
main( )  
{ static int a = 1;               /*  Line 1 */ 
  prtFun( ); 
  a += 1; 
  prtFun( ); 
  printf("" \n %d  %d "", a, b);
} 

void prtFun(void)   
{ static int a = 2;              /*  Line 2 */ 
  int b = 1;  
  a += ++b; 
  printf("" \n %d  %d "", a, b);
} 
      
What output will be generated by the given code segment?","3 1
    4 1
    4 2","4 2
    6 1
    6 1","4 2
    6 2
    2 0","3 1
    5 2
    5 2",,,
qp_2012,,"Consider the following C code segment.

int a, b, c = 0;  
void prtFun(void); 
main( )  
{ static int a = 1;               /*  Line 1 */ 
  prtFun( ); 
  a += 1; 
  prtFun( ); 
  printf("" \n %d  %d "", a, b);
} 

void prtFun(void)   
{ static int a = 2;              /*  Line 2 */ 
  int b = 1;  
  a += ++b; 
  printf("" \n %d  %d "", a, b);
} 
What output will be generated by the given code segment if: 
 Line 1 is replaced by    auto int a = 1; 
 Line 2 is replaced by    register int a = 2;","3 1
    4 1
    4 2","4 2
    6 1
    6 1","4 2
    6 2
    2 0","4 2
    4 2
    2 0",,,
qp_2012,,"Consider the following relations A, B and C:  

      A                                                                                                              
Id Name   Age
12 Arun   60
15 Shreya 24  
99 Rohit  11

     B
Id Name   Age  
15 Shreya 24
25 Hari   40
98 Rohit  20
99 Rohit  11

    C
Id Phone Area
10 2200  02
99 2100  01

How many tuples does the result of the following relational algebra expression contain? Assume 
that the schema of A&cup;B is the same as that of A.  

  (A &cup; B) &bowtie;<sub>A.Id > 40 &or; C.Id < 15</sub>C",7,4,5,9,Databases,,
qp_2012,,"Consider the following relations A, B and C:  

      A                                                                                                              
Id Name   Age
12 Arun   60
15 Shreya 24  
99 Rohit  11

     B
Id Name   Age  
15 Shreya 24
25 Hari   40
98 Rohit  20
99 Rohit  11

    C
Id Phone Area
10 2200  02
99 2100  01

How many tuples does the result of the following SQL query contain?

SELECT A.Id  
FROM A 
WHERE A.Age  >  ALL (SELECT B.Age  
                     FROM B 
                     WHERE B.Name = 'Arun')",4,3,0,1,Databases,,
qp_2012,,"For the grammar below, a partial LL(1) parsing table is also presented along with the grammar. Entries that 
need to be filled are indicated as E1, E2, and E3. &epsilon; is the empty string, $ indicates end of input, and, | 
separates alternate right hand sides of productions. 

S &rarr; a A b B  |  b A a B  |  &epsilon; 
A &rarr; S 
B &rarr; S 

  a      b       $ 
S E1     E2      S &rarr; &epsilon; 
A A &rarr; S  A &rarr; S   error 
B B &rarr; S  B &rarr; S   E3 
         
The FIRST and FOLLOW sets for the non-terminals A and B are","FIRST(A) = {a, b, &epsilon;} = FIRST(B)
    FOLLOW(A) = {a, b}
    FOLLOW(B) = {a, b, $}","FIRST(A) = {a, b, $} 
    FIRST(B) = {a, b, &epsilon;} 
    FOLLOW(A) = {a, b} 
    FOLLOW(B) = {$}","FIRST(A) = {a, b, &epsilon;} = FIRST(B)
    FOLLOW(A) = {a, b}
    FOLLOW(B) =  &empty;","FIRST(A) = {a, b} = FIRST(B) 
    FOLLOW(A) = {a, b} 
    FOLLOW(B) = {a, b}",,,
qp_2012,,"For the grammar below, a partial LL(1) parsing table is also presented along with the grammar. Entries that 
need to be filled are indicated as E1, E2, and E3. &epsilon; is the empty string, $ indicates end of input, and, | 
separates alternate right hand sides of productions. 

S &rarr; a A b B  |  b A a B  |  &epsilon; 
A &rarr; S 
B &rarr; S 

  a      b       $ 
S E1     E2      S &rarr; &epsilon; 
A A &rarr; S  A &rarr; S   error 
B B &rarr; S  B &rarr; S   E3 

The appropriate entries for E1, E2, and E3 are","E1: S &rarr; aAbB,  A &rarr; S
    E2: S &rarr; bAaB,  B &rarr; S
    E3: B &rarr; S","E1: S &rarr; aAbB,  S &rarr; &epsilon; 
    E2: S &rarr; bAaB,  S &rarr; &epsilon;
    E3: S &rarr; &epsilon;","E1: S &rarr; aAbB,  S &rarr; &epsilon;
    E2: S &rarr; bAaB,  S &rarr; &epsilon;
    E3: B &rarr; S","E1: A &rarr; S,  S &rarr; &epsilon; 
    E2: B &rarr; S,  S &rarr; &epsilon;
    E3: B &rarr; S",,,
